94,"2-комн. квартира, 64 м²",9550000,,Бунинская аллея ,20,64,4,17,Евроремонт,2015,Монолитный
95,"2-комн. квартира, 51,6 м²",9700000,Лосиноостровский,Медведково ,20,51,12,17,Евроремонт,1984,Панельный
96,"2-комн. квартира, 60 м²",9650000,Люблино,Люблино ,7,60,6,17,Евроремонт,1999,Панельный
97,"2-комн. квартира, 63 м²",9750000,Некрасовка,Некрасовка ,3,63,18,25,Дизайнерский,2016,Панельный
98,"2-комн. квартира, 46 м²",9900000,,Рассказовка ,15,46,4,12,Евроремонт,2018,Монолитный
99,"2-комн. квартира, 54 м²",10000000,Бабушкинский,Бабушкинская ,10,54,15,16,Косметический,1982,Блочный
100,"2-комн. квартира, 54 м²",10000000,Ново-Переделкино,Новопеределкино ,4,54,5,17,Косметический,1989,Панельный
101,"2-комн. квартира, 69 м²",9950000,,Коммунарка ,12,69,2,17,Евроремонт,2014,Монолитный
102,"2-комн. квартира, 57 м²",9999000,Ивановское,Новогиреево ,18,57,8,16,Дизайнерский,1975,Блочный
103,"2-комн. квартира, 52 м²",10150000,Очаково-Матвеевское,Озерная ,18,52,5,12,Евроремонт,1982,Панельный
104,"2-комн. квартира, 43,2 м²",10200000,Сокольники,Сокольники ,5,43,3,5,Косметический,1962,Кирпичный
105,"2-комн. квартира, 44 м²",10300000,Северное Медведково,Медведково ,8,44,7,9,Евроремонт,1972,Панельный
106,"2-комн. квартира, 48,6 м²",10300000,Щукино,Октябрьское поле ,6,48,8,12,Косметический,1970,Блочный
107,"2-комн. квартира, 54,1 м²",10300000,Бабушкинский,Бабушкинская ,5,54,12,12,Косметический,1980,Панельный
108,"2-комн. квартира, 51,6 м²",10300000,Бескудниковский,Селигерская ,15,51,17,17,Косметический,2003,Монолитный
109,"2-комн. квартира, 69 м²",10600000,,Коммунарка ,4,69,11,16,Евроремонт,2015,Монолитный
110,"2-комн. квартира, 45 м²",10990000,Таганский,Пролетарская ,6,45,8,12,Косметический,1973,Панельный
111,"2-комн. квартира, 59 м²",10900000,Соколиная гора,Соколиная гора ,16,59,7,8,Дизайнерский,1958,Кирпичный
112,"2-комн. квартира, 61,7 м²",11000000,Солнцево,Говорово ,15,61,16,17,Косметический,2005,Панельный
113,"2-комн. квартира, 55,4 м²",11150000,Кунцево,Молодежная ,2,55,17,17,Косметический,1972,Панельный
114,"2-комн. квартира, 72 м²",11100000,Южное Бутово,Улица Скобелевская ,17,72,23,23,Евроремонт,2017,Монолитный
115,"2-комн. квартира, 57,3 м²",11250000,Зюзино,Каховская ,7,57,4,14,Косметический,2007,Панельный
116,"2-комн. квартира, 44,1 м²",11290000,Савеловский,Савеловская ,2,44,6,9,Дизайнерский,1964,Кирпичный
117,"2-комн. квартира, 54 м²",11350000,Строгино,Строгино ,11,54,12,16,Косметический,1979,Панельный
118,"2-комн. квартира, 41 м²",11500000,Алексеевский,Алексеевская ,11,41,4,5,Евроремонт,1963,Кирпичный
119,"2-комн. квартира, 58,8 м²",11900000,Митино,Волоколамская ,9,58,11,16,Евроремонт,1998,Панельный
